id,name,startTime,endTime,category
43,Brazilian Soccer/Campeonato/Fixtures 07 September/Bahia v Coritiba,2014-09-07 21:30:00,2014-09-07 23:22:20,soccer
44,Brazilian Soccer/Campeonato/Fixtures 07 September/Criciuma v Corinthians,2014-09-07 19:00:00,2014-09-07 20:53:33,soccer
45,Brazilian Soccer/Campeonato/Fixtures 07 September/Fluminense v Cruzeiro,2014-09-07 19:00:00,2014-09-07 20:55:09,soccer
46,Brazilian Soccer/Copa Paulista/Fixtures 04 September/Red Bull Brasil v Independente SP,2014-09-03 23:00:00,2014-09-04 00:22:37,soccer
47,Brazilian Soccer/Copa Paulista/Fixtures 07 September/Osasco v Sao Bento,2014-09-07 13:00:00,2014-09-07 14:49:58,soccer
48,Brazilian Soccer/Serie C/Fixtures 02 September/Guarani SP v Juventude,2014-09-02 00:00:00,2014-09-02 01:52:54,soccer
49,Brazilian Soccer/Serie C/Fixtures 06 September/Guaratingueta v Guarani SP,2014-09-06 18:00:00,2014-09-06 19:52:10,soccer
50,Brazilian Soccer/Serie C/Fixtures 06 September/Juventude v Macae,2014-09-06 21:30:00,2014-09-06 23:23:46,soccer
51,Brazilian Soccer/Serie C/Fixtures 31 August   /Treze v Aguia de Maraba FC,2014-08-31 22:00:00,2014-09-01 00:10:09,soccer
52,CAF African Cup of Nations/Fixtures 06 September/Ghana v Uganda,2014-09-06 16:00:00,2014-09-06 17:58:39,soccer
53,CAF African Cup of Nations/Fixtures 06 September/Tunisia v Botswana,2014-09-06 19:15:00,2014-09-06 21:11:09,soccer
54,Chilean Soccer/Chilean Cup/Fixtures 03 September/Huachipato v Lota Schwager,2014-09-03 20:00:00,2014-09-03 21:58:40,soccer
55,Club Friendlies 2014/Fixtures 06 September/Phoenix Hagen v Bonn,2014-09-06 15:00:00,2014-09-06 16:55:52,basket
56,Colombian Soccer/Colombian Primera B/Fixtures 01 September/Bogota v CCD Tulua,2014-09-01 18:00:00,2014-09-01 19:48:51,soccer
57,Colombian Soccer/Colombian Primera B/Fixtures 04 September/CD Barranquilla v Bogota,2014-09-04 20:00:00,2014-09-04 21:48:42,soccer
58,Colombian Soccer/Colombian Primera B/Fixtures 04 September/CD Real Santander v Cucuta Deportivo,2014-09-04 14:00:00,2014-09-04 15:52:18,soccer
59,Colombian Soccer/Colombian Primera B/Fixtures 04 September/Llaneros FC v CD Uni de Popayan,2014-09-04 16:30:00,2014-09-04 18:22:00,soccer
60,Colombian Soccer/Liga Postobon/Fixtures 01 September/Millonarios v Santa Fe,2014-09-01 00:45:00,2014-09-01 02:38:17,soccer
61,Colombian Soccer/Liga Postobon/Fixtures 04 September / Alianza Petrolera v La Equidad,2014-09-04 20:15:00,2014-09-04 21:23:45,soccer
62,Colombian Soccer/Liga Postobon/Fixtures 06 September/Santa Fe v Tolima,2014-09-06 22:30:00,2014-09-07 00:24:26,soccer
63,Colombian Soccer/Liga Postobon/Fixtures 07 September/Once Caldas v Envigado,2014-09-07 01:00:00,2014-09-07 03:54:58,soccer
64,Copa Centroamericana/Fixtures 03 September / Costa Rica v Nicaragua,2014-09-03 21:30:00,2014-09-03 23:21:05,soccer
