id,name,startTime,endTime,category
36,Asean Basketball League 2014/Fixtures 05 September/Malaysia Dragons v Laskar Dreya,2014-09-05 12:00:00,2014-09-05 13:53:45,basket
37,Asean Basketball League 2014/Fixtures 06 September/Indonesia Warriors v Bangkok City,2014-09-06 09:00:00,2014-09-06 10:51:48,basket
38,Asean Basketball League 2014/Fixtures 07 September/Saigon Heat v Malaysia Dragons,2014-09-07 11:00:00,2014-09-07 13:07:26,basket
39,Azerbaijan Soccer/Azerbaijan I Divizion/Fixtures 06 September/Qaradag Lokbatan FK v FK Energetik Mingecevir,2014-09-06 12:30:00,2014-09-06 14:24:23,soccer
40,Azerbaijan Soccer/Azerbaijan I Divizion/Fixtures 07 September/Zira IK v FK MOIK Baku,2014-09-07 12:30:00,2014-09-07 14:27:00,soccer
41,Belgian Soccer/Belgian Second Division/Fixtures 02 September / Sint Truiden v Oud-Heverlee Leuven,2014-09-02 18:30:00,2014-09-02 20:27:26,soccer
42,Belgian Soccer/Belgian Second Division/Fixtures 03 September / Woluwe-Zaventem v Dessel Sport,2014-09-03 16:30:00,2014-09-03 18:19:56,soccer
43,Belgian Soccer/Belgian Second Division/Fixtures 03 September/Antwerp v RC Mechelen,2014-09-03 18:30:00,2014-09-03 20:23:53,soccer
44,Belgian Soccer/Belgian Second Division/Fixtures 03 September/Eupen v Eendracht Aalst,2014-09-03 18:30:00,2014-09-03 20:24:43,soccer
45,Belgian Soccer/Belgian Second Division/Fixtures 03 September/Heist v Mons,2014-09-03 18:30:00,2014-09-03 20:19:37,soccer
46,Belgian Soccer/Belgian Second Division/Fixtures 03 September/Patro Eisden v Seraing Utd,2014-09-03 18:30:00,2014-09-03 20:18:50,soccer
47,Belgian Soccer/Belgian Second Division/Fixtures 03 September/Roeselare v Excelsior Virton,2014-09-03 18:30:00,2014-09-03 20:19:24,soccer
48,Belgian Soccer/Belgian Second Division/Fixtures 03 September/Verbroedering Geel v Lommel Utd,2014-09-03 18:30:00,2014-09-03 20:20:10,soccer
49,Belgian Soccer/Belgian Second Division/Fixtures 03 September/White Star Bruxelles v Tubize,2014-09-03 18:30:00,2014-09-03 20:26:23,soccer
50,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Dessel Sport v Antwerp,2014-09-06 17:30:00,2014-09-06 19:19:32,soccer
51,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Excelsior Virton v Verbroedering Geel,2014-09-06 18:00:00,2014-09-06 19:51:26,soccer
52,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Lommel Utd v Woluwe-Zaventem,2014-09-06 18:00:00,2014-09-06 19:51:55,soccer
53,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Mons v Roeselare,2014-09-06 18:00:00,2014-09-06 19:49:59,soccer
54,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Oud-Heverlee Leuven v White Star Bruxelles,2014-09-06 18:00:00,2014-09-06 19:52:50,soccer
55,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Seraing Utd v Heist,2014-09-06 18:00:00,2014-09-06 19:48:13,soccer
56,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Tubize v Patro Eisden,2014-09-06 18:00:00,2014-09-06 19:53:10,soccer
57,Belgian Soccer/Belgian Second Division/Fixtures 07 September / RC Mechelen v Eupen,2014-09-07 13:00:00,2014-09-07 14:50:09,soccer
58,Belgian Soccer/Belgian Second Division/Fixtures 07 September/Eendracht Aalst v Sint Truiden,2014-09-07 13:00:00,2014-09-07 15:05:47,soccer
59,Belgian Soccer/Beloften Pro League/Fixtures 01 September/Cercle Brugge (Y) v Zulte-Waregem (Y),2014-09-01 17:30:00,2014-09-01 19:29:09,soccer
60,Belgian Soccer/Beloften Pro League/Fixtures 01 September/Genk (Y) v KSC Lokeren (Y),2014-09-01 17:30:00,2014-09-01 19:19:04,soccer
61,Belgian Soccer/Beloften Pro League/Fixtures 01 September/Gent (Y) v Standard Liege (Y),2014-09-01 17:30:00,2014-09-01 19:20:49,soccer
62,Belgian Soccer/Beloften Pro League/Fixtures 01 September/KV Kortrijk (Y) v Club Brugge (Y),2014-09-01 17:30:00,2014-09-01 18:03:42,soccer
63,Belgian Soccer/Beloften Pro League/Fixtures 01 September/Lierse (Y) v Charleroi (Y),2014-09-01 17:30:00,2014-09-01 19:20:51,soccer
64,Belgian Soccer/Beloften Pro League/Fixtures 03 September/Anderlecht (Y) v Genk (Y),2014-09-03 17:30:00,2014-09-03 19:21:48,soccer
65,Bolivian Soccer/Bolivian Liga Nacional A/Fixtures 01 September/Oriente Petrolero v Blooming,2014-08-31 23:00:00,2014-09-01 01:00:05,soccer
66,Brazilian Soccer/Brazilian Cup/Fixtures 02 September/ABC v Vasco da Gama,2014-09-02 22:30:00,2014-09-03 00:23:38,soccer
67,Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Atletico PR v America RN,2014-09-03 22:30:00,2014-09-04 00:30:24,soccer
68,Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Santa Rita v Cruzeiro,2014-09-03 22:30:00,2014-09-04 00:22:26,soccer
69,Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Ceara v Botafogo RJ,2014-09-04 01:00:00,2014-09-04 03:21:37,soccer
70,Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Corinthians v Bragantino SP,2014-09-04 01:00:00,2014-09-04 02:55:09,soccer
71,Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Flamengo v Coritiba,2014-09-04 01:00:00,2014-09-04 02:56:44,soccer
72,Brazilian Soccer/Brazilian Cup/Fixtures 05 September/Atletico MG v Palmeiras,2014-09-04 23:00:00,2014-09-05 00:52:21,soccer
73,Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa,2014-09-02 22:30:00,2014-09-03 00:23:02,soccer
74,Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Parana v Sampaio Correa,2014-09-02 22:30:00,2014-09-03 00:21:56,soccer
75,Brazilian Soccer/Brazilian Division 2/Fixtures 03 September/Portuguesa SP v Joinville,2014-09-02 23:30:00,2014-09-03 01:20:27,soccer
76,Brazilian Soccer/Brazilian Division 2/Fixtures 05 September/Icasa v Ponte Preta,2014-09-05 22:30:00,2014-09-06 00:22:31,soccer
77,Brazilian Soccer/Brazilian Division 2/Fixtures 06 September/ABC v Santa Cruz PE,2014-09-06 19:10:00,2014-09-06 21:06:14,soccer
78,Brazilian Soccer/Brazilian Division 2/Fixtures 06 September/America MG v Vasco da Gama,2014-09-06 19:10:00,2014-09-06 21:06:17,soccer
79,Brazilian Soccer/Brazilian Division 2/Fixtures 06 September/Avai v America RN,2014-09-06 19:10:00,2014-09-06 21:02:58,soccer
80,Brazilian Soccer/Brazilian Division 2/Fixtures 06 September/Nautico v Bragantino SP,2014-09-06 19:10:00,2014-09-06 20:57:24,soccer
81,Brazilian Soccer/Brazilian Division 2/Fixtures 07 September/Luverdense v Vila Nova,2014-09-07 00:00:00,2014-09-07 01:49:05,soccer
82,Brazilian Soccer/Brazilian Division 2/Fixtures 07 September/Oeste v Ceara,2014-09-07 00:00:00,2014-09-07 01:52:50,soccer
83,Brazilian Soccer/Campeonato/Fixtures 06 September/Flamengo v Gremio,2014-09-06 21:30:00,2014-09-06 23:23:03,soccer
84,Brazilian Soccer/Campeonato/Fixtures 06 September/Santos v Vitoria BA,2014-09-06 21:30:00,2014-09-06 23:30:12,soccer
85,Brazilian Soccer/Campeonato/Fixtures 07 September / Chapecoense v Goias,2014-09-07 00:00:00,2014-09-07 01:53:00,soccer
86,Brazilian Soccer/Campeonato/Fixtures 07 September/Atletico MG v Botafogo RJ,2014-09-07 19:00:00,2014-09-07 20:56:45,soccer
87,Brazilian Soccer/Campeonato/Fixtures 07 September/Atletico PR v Palmeiras,2014-09-07 21:30:00,2014-09-07 23:24:29,soccer
88,Brazilian Soccer/Campeonato/Fixtures 07 September/Bahia v Coritiba,2014-09-07 21:30:00,2014-09-07 23:22:20,soccer
89,Brazilian Soccer/Campeonato/Fixtures 07 September/Criciuma v Corinthians,2014-09-07 19:00:00,2014-09-07 20:53:40,soccer
90,Brazilian Soccer/Campeonato/Fixtures 07 September/Fluminense v Cruzeiro,2014-09-07 19:00:00,2014-09-07 20:55:11,soccer
91,Brazilian Soccer/Campeonato/Fixtures 07 September/Internacional v Figueirense,2014-09-07 21:30:00,2014-09-07 23:24:30,soccer
92,Brazilian Soccer/Campeonato/Fixtures 07 September/Sao Paulo v Sport Recife,2014-09-07 19:00:00,2014-09-07 20:51:40,soccer
93,Brazilian Soccer/Copa FGF/Fixtures 03 September/Internacional PA (Res) v Futebol Clube Marau,2014-09-03 18:00:00,2014-09-03 19:51:36,soccer
94,Brazilian Soccer/Copa FGF/Fixtures 03 September/Sao Jose RS v Esportivo,2014-09-03 18:00:00,2014-09-03 19:51:10,soccer
95,Brazilian Soccer/Copa Paulista/Fixtures 04 September/Red Bull Brasil v Independente SP,2014-09-03 23:00:00,2014-09-04 00:51:40,soccer
96,Brazilian Soccer/Copa Paulista/Fixtures 06 September/Independente SP v XV de Piracicaba,2014-09-06 22:00:00,2014-09-06 23:50:05,soccer
97,Brazilian Soccer/Copa Paulista/Fixtures 06 September/Paulista v Internacional Limeira,2014-09-06 18:00:00,2014-09-06 19:52:32,soccer
98,Brazilian Soccer/Copa Paulista/Fixtures 06 September/Santo Andre v Sorocaba,2014-09-06 18:00:00,2014-09-06 18:45:20,soccer
99,Brazilian Soccer/Copa Paulista/Fixtures 07 September/CA Juventus v Sao Jose EC SP,2014-09-07 13:00:00,2014-09-07 13:47:18,soccer
100,Brazilian Soccer/Copa Paulista/Fixtures 07 September/Osasco v Sao Bento,2014-09-07 13:00:00,2014-09-07 14:53:20,soccer
101,Brazilian Soccer/Copa Rio/Fixtures 03 September/Madureira v Barra da Tijuca FC,2014-09-03 18:00:00,2014-09-03 19:54:05,soccer
102,Brazilian Soccer/Serie C/Fixtures 02 September/Guarani SP v Juventude,2014-09-02 00:00:00,2014-09-02 01:52:54,soccer
103,Brazilian Soccer/Serie C/Fixtures 06 September/Guaratingueta v Guarani SP,2014-09-06 18:00:00,2014-09-06 19:52:10,soccer
104,Brazilian Soccer/Serie C/Fixtures 06 September/Juventude v Macae,2014-09-06 21:30:00,2014-09-06 23:23:56,soccer
105,Brazilian Soccer/Serie C/Fixtures 31 August   /Treze v Aguia de Maraba FC,2014-08-31 22:00:00,2014-09-01 00:10:09,soccer
106,CAF African Cup of Nations/Fixtures 05 September/Guinea v Togo,2014-09-05 19:00:00,2014-09-05 20:58:16,soccer
107,CAF African Cup of Nations/Fixtures 05 September/Senegal v Egypt,2014-09-05 20:00:00,2014-09-05 22:07:27,soccer
108,CAF African Cup of Nations/Fixtures 05 September/Sudan v South Africa,2014-09-05 17:00:00,2014-09-05 18:54:48,soccer
109,CAF African Cup of Nations/Fixtures 06 September/Burkina Faso v Lesotho,2014-09-06 16:00:00,2014-09-06 17:59:17,soccer
110,CAF African Cup of Nations/Fixtures 06 September/DR Congo v Cameroon,2014-09-06 12:00:00,2014-09-06 14:08:30,soccer
